C-003,ICT,SBY-65,Tg.Batu Empty Kalianak,003TBK,700000,20"
C-003,ICT,SBY-65,Tg.Batu Empty Margomulyo,003TBM,800000,20"
C-003,ICT,SBY-65,Tg.Batu Empty Romokalisari,003TBR,900000,20"
C-003,ICT,SBY-65,Margomulyo,003MML,850000,20"
C-003,ICT,SBY-65,Romokalisari,003RMK,1200000,20"
C-003,Teluk Lamong,SBY-07,Tg.Batu Empty Kalianak,003TBK,800000,20"
C-003,Teluk Lamong,SBY-07,Tg.Batu Empty Margomulyo,003TBM,900000,20"
C-003,Teluk Lamong,SBY-07,Tg.Batu Empty Romokalisari,003TBR,1000000,20"
C-003,Teluk Lamong,SBY-07,Margomulyo,003MML,950000,20"
C-003,Teluk Lamong,SBY-07,Romokalisari,003RMK,1300000,20"
C-012,TPS,SBY-66,BJO Romokalisari,012BJR,940000,20"
C-012,TPS,SBY-66,BJO Sukorejo Malang,012BSM,2000000,20"
C-012,Teluk Lamong,SBY-07,BJO Romokalisari,012BJR,1040000,20"
C-012,TPS,SBY-66,BJO Sukorejo Malang,012BSM,2100000,20"
C-012,TPS,SBY-66,CPI Premix Krian,012CPK,1220000,20"
C-012,Teluk Lamong,SBY-07,CPI Premix Krian,012CPK,1320000,20"
C-012,TPS,SBY-66,STI Romokalisari,012STR,940000,20"
C-012,Teluk Lamong,SBY-07,STI Romokalisari,012STR,1040000,20"
C-012,Depo Sinergi,SBY-67,CPI Sepanjang,012CIS,940000,20"
C-012,Depo Sinergi,SBY-67,Cpi Krian,012CIK,1220000,20"
C-012,Depo Sinergi,SBY-67,Cassaland,012CSL,1220000,20"
C-012,TPS,SBY-66,CPI Sepanjang,012CIS,940000,20"
C-012,TPS,SBY-66,Cpi Krian,012CIK,1220000,20"
C-012,TPS,SBY-66,Cassaland,012CSL,1220000,20"
C-012,Teluk Lamong,SBY-07,CPI Sepanjang,012CIS,1040000,20"
C-012,Teluk Lamong,SBY-07,Cpi Krian,012CIK,1320000,20"
C-012,Teluk Lamong,SBY-07,Cassaland,012CSL,1320000,20"
C-012,Depo Sinergi,SBY-67,CPP Dupak,012CPD,695000,20"
C-012,Depo Sinergi,SBY-67,CPP Margomulyo Citra,012CMC,765000,20"
C-012,Depo Sinergi,SBY-67,CPP Margomulyo B10,012CMB,765000,20"
C-012,Depo Sinergi,SBY-67,CPP Sepanjang,012CPS,940000,20"
C-012,Depo Sinergi,SBY-67,Romokalisari,012RMK,905000,20"
C-012,Depo Sinergi,SBY-67,Abba Sepanjang,012ABS,940000,20"
C-012,TPS,SBY-66,CPP Dupak,012CPD,695000,20"
