HSS,2668 HSSC,G 45 CD 19 Lantai / AAK - 3 AXLE,G 45 CD 19 Lantai ,H145 ex H166,H 45 CD T 019 ST - AAK ( TD4-13 ) 
HSS,2669 HSSC,G 45 CD 20 Lantai / AAK - 3 AXLE,G 45 CD 20 Lantai ,H148 ex H167,H 45 CD T 020 ST - AAK ( TD4-14 ) 
HSS,2670 HSSC,G 45 CD 21 Lantai / AAK - 3 AXLE,G 45 CD 21 Lantai ,H168,H 45 CD T 021 ST - AAK ( TD4-15 )
HSS,2671 HSSC,G 45 CD 22 Lantai / AAK - 3 AXLE,G 45 CD 22 Lantai ,H169,H 45 CD T 022 ST - AAK ( TD4-16 )
HSS,2672 HSSC,G 45 CD 23 Lantai / AAK - 3 AXLE,G 45 CD 23 Lantai ,H170,H 45 CD T 023 ST - AAK ( TD4-17 )
HSS,2673 HSSC,G 45 CD 24 Lantai / AAK - 3 AXLE,G 45 CD 24 Lantai ,H171,H 45 CD T 024 ST - AAK ( TD4-18 )
HSS,2674 HSSC,G 45 CD 25 Lantai / AAK - 3 AXLE,G 45 CD 25 Lantai ,H172,H 45 CD T 025 ST - AAK ( TD4-19 )
HSS,2675 HSSC,G 45 CD 26 Lantai / AAK - 3 AXLE,G 45 CD 26 Lantai ,H173,H 45 CD T 026 ST - AAK ( TD4-20 )
HSS,2676 HSSC,G 45 CD 27 Lantai / AAK - 3 AXLE,G 45 CD 27 Lantai ,H174,H 45 CD T 027 ST - AAK ( TD4-21 )
HSS,2677 HSSC,G 45 CD 28 Lantai / AAK - 3 AXLE,G 45 CD 28 Lantai ,H175,H 45 CD T 028 ST - AAK ( TD4-22 )
HSS,2678 HSSC,G 45 CD 29 Lantai / AAK - 3 AXLE,G 45 CD 29 Lantai ,H176,H 45 CD T 029 ST - AAK ( TD4-23 )
HSS,2679 HSSC,G 45 CD 30 Lantai / AAK - 3 AXLE,G 45 CD 30 Lantai ,H177,H 45 CD T 030 ST - AAK ( TD4-24 )
HSS,2680 HSSC,G 45 CD 31 Lantai / AAK - 3 AXLE,G 45 CD 31 Lantai ,H178,H 45 CD T 031 ST - AAK ( TD4-25 )
