AS,1821 AS,G 20 TR 01 Rangka,TR 01 A,TR 01 A
AS,1822 AS,G 20 TR 02 Rangka,TR 02 A,TR 02 A
HSS,1823 HSSC,G 40 TR 03 Lantai 3 AXLE,TR 03 A / 3 Axle,A 40 TL 002 ST ( T4-02 )
HSS,1824 HSSC,G 40 TR 04 Lantai 3 AXLE,TR 04 A / 3 Axle,A 40 TL 001 ST ( T4-04 )
HSS,1825 HSSC,G 40 TR 05 Lantai 3 AXLE,H61 T ex TR 05 A ,A 40 TL 003 ST ( T4-05 )
HSS,1826 HSSC,G 40 TR 06 Lantai 3 AXLE,TR 06 A / 3 Axle,A 40 TL 004 ST
HSS,1851 HSSC,G 30 TD 33 / 3 AXLE,H17 T,A 30 TD 010 ST ( TD 33 ex AS )
HSS,1852 HSSC,G 30 TD 28 / 3 AXLE,H22 T ex TD 28,A 30 TD 009 ST ( TD 28 ex AS )
HSS,1853 HSSC,G 30 TD 19 / 3 AXLE,H15 T ex TD 19 ,A 30 TD 008 ST ( TD 19 ex AS )
HSS,1854 HSSC,G 30 TD 20 Lantai  - 2 AXLE,H83 ex TD 20,A 30 TD 006 ST ( TD 20 ex AS )
HSS,1855 HSSC,G 30 TD 25 Lantai  3 AXLE,H16 / TD 08 A,A 30 TD 007 ST ( TD 25 ex AS )
HSS,1871 HSSC,G 40 TD 01 DUMP 3 AXLE,H116,H 40 TD 001 T ( TD3-01 )
HSS,1872 HSSC,G 40 TD 02 DUMP 3 AXLE,H117,H 40 TD 002 T ( TD3-02 )
HSS,1873 HSSC,G 40 TD 03 DUMP 3 AXLE,H118,H 40 TD 003 T ( TD3-03 )
HSS,1874 HSSC,G 40 TD 04 DUMP 3 AXLE,H119,H 40 TD 004 T ( TD3-04 )
HSS,1875 HSSC,G 40 TD 05 DUMP 3 AXLE,H120,H 40 TD 005 T ( TD3-05 )
HSS,1876 HSSC,G 40 TD 06 DUMP 3 AXLE,H121,H 40 TD 006 T ( TD3-06 )
HSS,1877 HSSC,G 40 TD 07 DUMP 3 AXLE,H122,H 40 TD 007 T ( TD3-07 )
HSS,1878 HSSC,G 40 TD 08 DUMP 3 AXLE,H123,H 40 TD 008 T ( TD3-08 )
HSS,1879 HSSC,G 40 TD 09 DUMP 3 AXLE,H124,H 40 TD 009 T ( TD3-09 )
HSS,1880 HSSC,G 40 TD 10 DUMP 3 AXLE,H125,H 40 TD 010 T ( TD3-10 )
HSS,2640 HSSC,G 20 CD 40 RANGKA,H23 ex H92 T,H 20 CD 041 ST- A / R ( TD2-06 )
