Kode Customer, Nama Customer, Kode Ship From, Ship From Deskripsi, Ship To Kode, Harga Invoice, Tipe Truck (20"/40")
C-010,TELUK LAMONG,SBY-07,BIMA FEED TUBAN,010BFT,2350000,20"
C-010,TELUK LAMONG,SBY-07,MATAHARI SAKTI GEMPOL,010MSG,1830000,20"
C-010,TELUK LAMONG,SBY-07,P.SWIHIEN PURWOSARI,010PWS,2310000,20"
C-010,TELUK LAMONG,SBY-07,CPI KRIAN,010CIK,1290000,20"
C-010,TELUK LAMONG,SBY-07,SINAR INDOCHEM KRIAN,010SIK,1290000,20"
C-010,TELUK LAMONG,SBY-07,DMC PUNGGING,010DMP,1740000,20"
C-010,TELUK LAMONG,SBY-07,WONOKOYO,010WKG,1830000,20"
C-010,TELUK LAMONG,SBY-07,TAMBAK SAWAH,010TBS,1290000,20"
C-012,TPS,SBY-66,BJO ROMOKALISARI,012BJR,1495000,40"
C-012,DEPO,SBY-69,BJO ROMOKALISARI,012BJR,1495000,40"
C-012,TELUK LAMONG,SBY-07,BJO ROMOKALISARI,012BJR,1610000,40"
C-012,TPS,SBY-66,CPI PREMIX KRIAN,012CPK,2042000,40"
C-012,TELUK LAMONG,SBY-07,CPI PREMIX KRIAN,012CPK,2157000,40"
C-012,DEPO,SBY-69,CPI PREMIX KRIAN,012CPK,2042000,40"
C-012,TPS,SBY-66,STI ROMOKALISARI,012STR,1495000,40"
C-012,TELUK LAMONG,SBY-07,STI ROMOKALISARI,012STR,1610000,40"
C-012,TPS,SBY-66,STI DEPO JANGKAR,012SDJ,575000,40"
C-012,DEPO,SBY-69,CPI SEPANJANG,012CIS,1495000,40"
C-012,DEPO,SBY-69,CPI KRIAN,012CIK,2042000,40"
C-012,DEPO,SBY-69,CASALAND,012CSL,2042000,40"
C-012,TPS,SBY-66,CPI SEPANJANG,012CIS,1495000,40"
C-012,TPS,SBY-66,CPI KRIAN,012CIK,2042000,40"
C-012,TPS,SBY-66,CASALAND,012CSL,2042000,40"
C-012,TELUK LAMONG,SBY-07,CPI SEPANJANG,012CIS,1610000,40"
C-012,TELUK LAMONG,SBY-07,CPI KRIAN,012CIK,2157000,40"
C-012,TELUK LAMONG,SBY-07,CASALAND,012CSL,2157000,40"
C-012,DEPO,SBY-69,CPP DUPAK,012CPD,1058000,40"
C-012,DEPO,SBY-69,CPP MARGOMULYO CITRA,012CMC,1225000,40"
C-012,DEPO,SBY-69,CPP MARGOMULYO B10,012CMB,1225000,40"
C-012,DEPO,SBY-69,CPP SEPANJANG,012CPS,1495000,40"
C-012,DEPO,SBY-69,ROMOKALISARI,012RMK,1403000,40"
