KR220001,L 9759 UE,8/8/2022,,OL01,,,,,
KR220001,L 9759 UE,8/8/2022,,US04,,,,,
KR220001,L 9759 UE,8/8/2022,,OL02,,,,,
KR220001,L 9759 UE,8/8/2022,,OL01 ,,,,,
KR220001,L 9759 UE,8/8/2022,,OL01,,,,,
KR220001,L 9759 UE,8/8/2022,,OL01,,,,,
KR220001,L 9759 UE,8/8/2022,,,,,,,
KR220002,L 9160 UO,8/18/2022,,LS06,,,,,
KR220002,L 9160 UO,8/18/2022,,LS03,,,,,
KR220002,L 9160 UO,8/18/2022,,,,,,,
KR220003,L 8349 UZ,8/18/2022,,LAIN,,,,,
KR220003,L 8349 UZ,8/18/2022,,,,,,,
KR220004,L 8335 UU,8/8/2022,,LAIN,,,,,
KR220004,L 8335 UU,8/8/2022,,,,,,,
KR220005,L 8089 UB,8/8/2022,,OL01,,,,,
KR220005,L 8089 UB,8/8/2022,,,,,,,
KR220006,L 8684 UM,8/8/2022,,,,,,,
KR220007,L 9699 UP,8/8/2022,,,,,,,
KR220008,L 8703 UF,8/9/2022,,LS02,,,,,
KR220008,L 8703 UF,8/9/2022,,LS02,,,,,
KR220008,L 8703 UF,8/9/2022,,LS02,,,,,
KR220008,L 8703 UF,8/9/2022,,,,,,,
KR220009,L 8473 UO,8/9/2022,,,,,,,
KR220010,L 8671 UQ,8/18/2022,,BN01,,,,,
KR220010,L 8671 UQ,8/18/2022,,BN01,,,,,
KR220010,L 8671 UQ,8/18/2022,,BN02,,,,,
KR220010,L 8671 UQ,8/18/2022,,LS06,,,,,
KR220010,L 8671 UQ,8/18/2022,,,,,,,
KR220011,L 8349 UZ,8/18/2022,,US04,,,,,
KR220011,L 8349 UZ,8/18/2022,,US03,,,,,
KR220011,L 8349 UZ,8/18/2022,,US02,,,,,
KR220011,L 8349 UZ,8/18/2022,,LAIN,,,,,
KR220011,L 8349 UZ,8/18/2022,,,,,,,
KR220012,L 8287 UD,8/18/2022,,LS03,,,,,
KR220012,L 8287 UD,8/18/2022,,,,,,,
KR220013,L 9652 UP,8/18/2022,,,,,,,
KR220014,L 8692 UR,8/18/2022,,US01,,,,,
KR220014,L 8692 UR,8/18/2022,,US01,,,,,
KR220014,L 8692 UR,8/18/2022,,,,,,,
KR220015,L 8825 UR,8/18/2022,,,,,,,
KR220016,L 9412 UR,8/10/2022,,OL01,,,,,
KR220016,L 9412 UR,8/10/2022,,OL01,,,,,
