M MULYO 40*,Container,CPM," 288000 "," 69000 "
M.SUNGKONO 20*,Container,," 300000 "," 40000 "
MADIUN 40*,Container,," 1,900000 ", - 
MALINDO 20*,Container,MAL," 385000 "," 53000 "
MALINDO 40*,Container,MAL," 490000 "," 75000 "
MANUKAN 20*,Container,," 158000 "," 35000 "
MANUKAN 20*,Container,," 228000 "," 50000 "
MANYAR 20*,Container,MYG," 377000 "," 40000 "
MANYAR 40*,Container,MYG," 461000 "," 50000 "
MBM 20*,Container,," 340000 "," 46000 "
MBM 40*,Container,," 435000 "," 72000 "
MBM KRIAN 20*,Container,," 340000 "," 46000 "
MERATUS TJ.BATU 20*,Container,TGB," 170000 "," 40000 "
MJ.SARI DMC 20*,Container,DMP," 480000 "," 43000 "
MMULYO-NILAM,Container,," 100000 ", - 
MOJOKERTO 20*,Container,EHN," 405000 "," 50000 "
MOJOSARI 20*,Container,," 405000 "," 50000 "
MPJS JOMBANG 20*,Container,MPJ," 1000000 ", - 
MRTUS-K.ANAK 20* K.EMPTY,Container,," 174000 "," 30000 "
MT DUPAK 20*,Container,DPK," 225000 "," 50000 "
MULYA TANI 20*,Container,," 475000 "," 42000 "
N.HOPE MJSR 20*,Container,NHM," 480000 "," 43000 "
NGORO 20*,Container,EHN," 485000 "," 43000 "
NGORO 40*,Container,EHN," 575000 "," 65000 "
NGORO JOMBANG 40*,Container,," 1,300000 ", - 
NILAM,Container,," 70000 ", - 
OPER2 GD.ROMO 40*,Container,RMK," 100000 ", - 
OSO.WILANGUN 20*,Container,," 265000 "," 32000 "
P.JIWO 20*,Container,," 270000 "," 37000 "
PADI FLOUR MJSR 20*,Container,," 535000 "," 43000 "
PANADIA 20*,Container,," 200000 "," 40000 "
PANADIA 40*,Container,," 265000 "," 58000 "
PANDAAN 20*,Container,PPD," 485000 "," 43000 "
PANDAAN 40*,Container,PPD," 575000 "," 65000 "
PANDAAN SINGAMAS 20*,Container,PPD," 585000 "," 56000 "
PARE 20*,Container,PPM," 1,150000 ", - 
PEGIRIAN 20*,Container,," 225000 "," 50000 "
PERNING 20*,Container,MAL," 475000 "," 42000 "
PIER PASURUAN 20*,Container,KRI," 555000 "," 40000 "
PIER PASURUAN 40*,Container,KRI," 675000 "," 65000 "
PT.MEBEL KOSONGAN 40*,Container,," 225000 ", - 
PUNGGING 20*,Container,DMP," 485000 "," 43000 "
PUNGGING 20* PUPUK,Container,DMP," 520000 "," 43000 "
PUNGGING 40*,Container,DMP," 575000 "," 65000 "
PUNGGING-ROMO 20*,Container,RMK," 240000 ", - 
PURAAGUNG 20*,Container,," 450000 "," 42000 "
PURWODADI 20*,Container,," 580000 "," 56000 "
PURWOSARI 20*,Container,," 585000 "," 56000 "
PURWOSARI 40*,Container,," 585000 "," 56000 "
PURWOSARI-GEMPOL 20*,Container,MSG," 200000 ", - 
PURWOSARI-PUNGGING 20*,Container,DMP," 250000 ", - 
PUSPA AGRO 20*,Container,," 300000 "," 40000 "
PUSPO AGRO 40*,Container,," 390000 "," 50000 "
REPO2 DSS TB 20*,Container,," 125000 ", - 
