Customer Kode, Ship From, Kode Ship From, Ship To, Kode Shipto, Harga Invoice
C-057,Romokalisari,SBY-02 ,Malindo Wringin anom,057MWA,44,50
C-057,Romokalisari,SBY-02 ,DMC PUNGGING,057DMP,55,00
C-057,Romokalisari,SBY-02 ,CJ Feed Jombang,057CFJ,67,50
C-057,Romokalisari,SBY-02 ,CJ Pasuruan,057CJP,69,50
C-057,Romokalisari,SBY-02 ,Sierad Wonoayu,057SRW,48,00
C-057,Romokalisari,SBY-02 ,Haida Kraton,057HKR,65,00
C-057,Romokalisari,SBY-02 ,CJ Feed BATANG,057CFB,180,00
C-057,Romokalisari,SBY-02 ,Japfa Sragen,057JPS,160,00
C-057,Romokalisari,SBY-02 ,New Hope Kletek,057NHK,44,50
C-057,Romokalisari,SBY-02 ,Matahari Sakti-M.Mulyo,057MMM,27,50
C-057,Romokalisari,SBY-02 ,Pakindo Jaya,057PKJ,39,00
C-057,Jamrud,SBY-10 ,MPJS Jombang,057MPJ,72,00
C-057,Jamrud,SBY-10 ,PT. Murti Gresik,057MUR,30,90
C-057,Jamrud,SBY-10 ,PT. Siantar Top Tambak Sawah,057STT,42,30
C-057,Jamrud,SBY-10 ,Romokalisari,057RMK,27,50
C-057,Jamrud,SBY-10 ,TANJUNG BATU SURABAYA,057TGB,14,00
C-057,Jamrud,SBY-10 ,Margomulyo,057MML,27,00
C-057,Jamrud,SBY-10 ,Dupak,057DPK,25,00
C-057,Jamrud,SBY-10 ,Pakindo Jaya,057PKJ,38,00
C-057,Jamrud,SBY-10 ,Wirifa Rungkut,057WRR,38,00
C-057,Jamrud,SBY-10 ,New Hope Jemundo,057NHJ,43,50
C-057,Jamrud,SBY-10 ,Panca Pandaan,057PPD,49,50
C-057,Jamrud,SBY-10 ,Wonokoyo,057WKY,49,50
C-057,Jamrud,SBY-10 ,Matahari Sakti Gempol,057MSG,49,50
C-057,Jamrud,SBY-10 ,Sinar Indochem-Krian,057SIK,46,00
C-057,Jamrud,SBY-10 ,Cpi Krian,057CIK,46,00
C-057,Jamrud,SBY-10 ,Japfa Buduran,057JPB,44,00
C-057,Jamrud,SBY-10 ,Panca Gedangan,057PPG,38,00
C-057,Jamrud,SBY-10 ,East Hope-Ngoro,057EHN,49,50
C-057,Jamrud,SBY-10 ,Cpi Sepanjang,057CIS,43,50
C-057,Jamrud,SBY-10 ,New Hope Mojosari,057NHM,50,50
C-057,Jamrud,SBY-10 ,Suri Tani Manyar,057STM,44,00
C-057,Jamrud,SBY-10 ,Malindo Wringin anom,057MWA,43,50
C-057,Jamrud,SBY-10 ,PT. DMC Mojokerto,057DMM,54,00
C-057,Jamrud,SBY-10 ,CJ Jombang,057CJJ,66,50
C-057,Jamrud,SBY-10 ,CJ Pasuruan,057CJP,68,50
C-057,Jamrud,SBY-10 ,Sierad Wonoayu,057SRW,47,00
C-057,Jamrud,SBY-10 ,Cargill Kraton,057CKR,60,50
C-057,Jamrud,SBY-10 ,Haida Kraton,057HKR,64,00
C-057,Jamrud,SBY-10 ,CJ Feed BATANG,057CFB,180,00
C-057,Jamrud,SBY-10 ,Japfa Sragen,057JSR,160,00
C-057,Teluk Lamong,SBY-07 ,Sama Berkat Indonesia,057SBI,25,00
C-057,Teluk Lamong,SBY-07 ,Gold Coin,057GCN,25,00
C-057,Teluk Lamong,SBY-07 ,DMC PUNGGING,057DMP,57,00
C-057,Teluk Lamong,SBY-07 ,CJ Feed Jombang,057CFJ,69,50
C-057,Teluk Lamong,SBY-07 ,MPJS Jombang,057MPJ,76,00
C-057,Teluk Lamong,SBY-07 ,Murti Jaya Abadi,057MJA,26,50
C-057,Teluk Lamong,SBY-07 ,Siantar Top-Sda,057STT,44,60
C-057,Teluk Lamong,SBY-07 ,Romokalisari,057RMK,19,80
C-057,Teluk Lamong,SBY-07 ,TANJUNG BATU SURABAYA,057TGB,25,00
C-057,Teluk Lamong,SBY-07 ,Margomulyo,057MGM,25,00
C-057,Teluk Lamong,SBY-07 ,Dupak,057DPK,25,00
C-057,Teluk Lamong,SBY-07 ,Pakindo Jaya,057PKJ,41,00
C-057,Teluk Lamong,SBY-07 ,Wirifa Rungkut,057WFR,41,00
C-057,Teluk Lamong,SBY-07 ,New Hope Jemundo,057NHJ,47,50
C-057,Teluk Lamong,SBY-07 ,Panca Pandaan,057PPD,52,50
C-057,Teluk Lamong,SBY-07 ,Wonokoyo,057WKY,63,60
C-057,Teluk Lamong,SBY-07 ,Sinar Indochem-Krian,057SIK,49,00
C-057,Teluk Lamong,SBY-07 ,Cpi Krian,057CIK,49,00
C-057,Teluk Lamong,SBY-07 ,Japfa Buduran,057JPB,47,00
C-057,Teluk Lamong,SBY-07 ,Panca Gedangan,057PPG,41,00
C-057,Teluk Lamong,SBY-07 ,East Hope-Ngoro,057EHN,52,50
C-057,Teluk Lamong,SBY-07 ,Cpi Sepanjang,057CIS,46,50
C-057,Teluk Lamong,SBY-07 ,New Hope Mojosari,057NHM,51,50
C-057,Teluk Lamong,SBY-07 ,Suri Tani Manyar,057STM,43,00
C-057,Teluk Lamong,SBY-07 ,Malindo Wringin anom,057MWA,46,50
C-057,Teluk Lamong,SBY-07 ,CJ Pasuruan,057CJP,71,50
C-057,Teluk Lamong,SBY-07 ,Sierad Wonoayu,057SRW,50,00
C-057,Teluk Lamong,SBY-07 ,Cargill Kraton,057CKR,63,50
C-057,Teluk Lamong,SBY-07 ,Haida Kraton,057HKR,67,00
C-057,Teluk Lamong,SBY-07 ,CJ Feed BATANG,057CFB,180,00
C-057,Teluk Lamong,SBY-07 ,Japfa Sragen,057JPS,160,00
C-058,Romokalisari,SBY-02 ,MPJS Jombang,058MPJ,73,00
C-058,Romokalisari,SBY-02 ,CARGILL Beji,058CGB,50,50
C-058,Romokalisari,SBY-02 ,Murti Jaya Abadi,058MJA,13,70
C-058,Romokalisari,SBY-02 ,Siantar Top-Sda,058STT,43,60
C-058,Romokalisari,SBY-02 ,Romokalisari,058RMK,10,00
C-058,Romokalisari,SBY-02 ,TANJUNG BATU SURABAYA,058TGB,27,50
C-058,Romokalisari,SBY-02 ,Margomulyo,058MGM,27,50
C-058,Romokalisari,SBY-02 ,Dupak,058DPK,25,00
C-058,Romokalisari,SBY-02 ,Pakindo Jaya,058PKJ,39,00
C-058,Romokalisari,SBY-02 ,Wirifa Rungkut,058WFR,39,00
C-058,Romokalisari,SBY-02 ,New Hope Jemundo,058NHJ,44,50
C-058,Romokalisari,SBY-02 ,Panca Pandaan,058PPD,50,50
C-058,Romokalisari,SBY-02 ,Wonokoyo,058WKY,50,50
C-058,Romokalisari,SBY-02 ,Sinar Indochem-Krian,058SIK,47,00
C-058,Romokalisari,SBY-02 ,Cpi Krian,058CIK,47,00
C-058,Romokalisari,SBY-02 ,Japfa Buduran,058JPB,45,00
C-058,Romokalisari,SBY-02 ,Panca Gedangan,058PPG,39,00
C-058,Romokalisari,SBY-02 ,Cargill PIER,058CGP,61,50
C-058,Romokalisari,SBY-02 ,Gold Coin-M.Mulyo,058GCM,27,50
C-058,Romokalisari,SBY-02 ,Matahari Sakti Gempol,058MSG,50,50
C-058,Romokalisari,SBY-02 ,East Hope-Ngoro,058EHN,50,50
C-058,Romokalisari,SBY-02 ,Cpi Sepanjang,058CIS,44,50
C-058,Romokalisari,SBY-02 ,New Hope Mojosari,058NHM,52,50
C-058,Romokalisari,SBY-02 ,Suri Tani Manyar,058STM,39,00
C-058,Romokalisari,SBY-02 ,Malindo Wringin anom,058MWA,44,50
C-058,Romokalisari,SBY-02 ,DMC PUNGGING,058DMP,55,00
C-058,Romokalisari,SBY-02 ,CJ Feed Jombang,058CFJ,67,50
C-058,Romokalisari,SBY-02 ,CJ Pasuruan,058CJP,69,50
C-058,Romokalisari,SBY-02 ,Sierad Wonoayu,058SRW,48,00
C-058,Romokalisari,SBY-02 ,Haida Kraton,058HKR,65,00
C-058,Romokalisari,SBY-02 ,CJ Feed BATANG,058CFB,180,00
C-058,Romokalisari,SBY-02 ,Japfa Sragen,058JPS,160,00
C-058,Romokalisari,SBY-02 ,New Hope Kletek,058NHK,44,50
C-058,Romokalisari,SBY-02 ,Matahari Sakti-M.Mulyo,058MMM,27,50
C-058,Romokalisari,SBY-02 ,Pakindo Jaya,058PKJ,39,00
C-058,Jamrud,SBY-10 ,MPJS Jombang,058MPJ,72,00
C-058,Jamrud,SBY-10 ,PT. Murti Gresik,058MUR,30,90
C-058,Jamrud,SBY-10 ,PT. Siantar Top Tambak Sawah,058STT,42,30
C-058,Jamrud,SBY-10 ,Romokalisari,058RMK,27,50
C-058,Jamrud,SBY-10 ,TANJUNG BATU SURABAYA,058TGB,14,00
C-058,Jamrud,SBY-10 ,Margomulyo,058MGM,27,00
C-058,Jamrud,SBY-10 ,Dupak,058DPK,25,00
C-058,Jamrud,SBY-10 ,Pakindo Jaya,058PKJ,38,00
C-058,Jamrud,SBY-10 ,Wirifa Rungkut,058WRR,38,00
C-058,Jamrud,SBY-10 ,New Hope Jemundo,058NHJ,43,50
C-058,Jamrud,SBY-10 ,Panca Pandaan,058PPD,49,50
C-058,Jamrud,SBY-10 ,Wonokoyo,058WKY,49,50
C-058,Jamrud,SBY-10 ,Matahari Sakti Gempol,058MSG,49,50
C-058,Jamrud,SBY-10 ,Sinar Indochem-Krian,058SIK,46,00
C-058,Jamrud,SBY-10 ,Cpi Krian,058CIK,46,00
C-058,Jamrud,SBY-10 ,Japfa Buduran,058JPB,44,00
C-058,Jamrud,SBY-10 ,Panca Gedangan,058PPG,38,00
C-058,Jamrud,SBY-10 ,East Hope-Ngoro,058EHN,49,50
C-058,Jamrud,SBY-10 ,Cpi Sepanjang,058CIS,43,50
C-058,Jamrud,SBY-10 ,New Hope Mojosari,058NHM,50,50
C-058,Jamrud,SBY-10 ,Suri Tani Manyar,058STM,44,00
C-058,Jamrud,SBY-10 ,Malindo Wringin anom,058MWA,43,50
C-058,Jamrud,SBY-10 ,PT. DMC Mojokerto,058DMM,54,00
C-058,Jamrud,SBY-10 ,CJ Jombang,058CJJ,66,50
C-058,Jamrud,SBY-10 ,CJ Pasuruan,058CJP,68,50
C-058,Jamrud,SBY-10 ,Sierad Wonoayu,058SRW,47,00
C-058,Jamrud,SBY-10 ,Cargill Kraton,058CKR,60,50
C-058,Jamrud,SBY-10 ,Haida Kraton,058HKR,64,00
C-058,Jamrud,SBY-10 ,CJ Feed BATANG,058CFB,180,00
C-058,Jamrud,SBY-10 ,Japfa Sragen,058JSR,160,00
C-058,Teluk Lamong,SBY-07 ,Sama Berkat Indonesia,058SBI,25,00
C-058,Teluk Lamong,SBY-07 ,Gold Coin,058GCN,25,00
C-058,Teluk Lamong,SBY-07 ,DMC PUNGGING,058DMP,57,00
C-058,Teluk Lamong,SBY-07 ,CJ Feed Jombang,058CFJ,69,50
C-058,Teluk Lamong,SBY-07 ,MPJS Jombang,058MPJ,76,00
C-058,Teluk Lamong,SBY-07 ,Murti Jaya Abadi,058MJA,26,50
C-058,Teluk Lamong,SBY-07 ,Siantar Top-Sda,058STT,44,60
C-058,Teluk Lamong,SBY-07 ,Romokalisari,058RMK,19,80
C-058,Teluk Lamong,SBY-07 ,TANJUNG BATU SURABAYA,058TGB,25,00
C-058,Teluk Lamong,SBY-07 ,Margomulyo,058MML,25,00
C-058,Teluk Lamong,SBY-07 ,Dupak,058DPK,25,00
C-058,Teluk Lamong,SBY-07 ,Pakindo Jaya,058PKJ,41,00
C-058,Teluk Lamong,SBY-07 ,Wirifa Rungkut,058WFR,41,00
C-058,Teluk Lamong,SBY-07 ,New Hope Jemundo,058NHJ,47,50
C-058,Teluk Lamong,SBY-07 ,Panca Pandaan,058PPD,52,50
C-058,Teluk Lamong,SBY-07 ,Wonokoyo,058WKY,63,60
C-058,Teluk Lamong,SBY-07 ,Sinar Indochem-Krian,058SIK,49,00
C-058,Teluk Lamong,SBY-07 ,Cpi Krian,058CIK,49,00
C-058,Teluk Lamong,SBY-07 ,Japfa Buduran,058JPB,47,00
C-058,Teluk Lamong,SBY-07 ,Panca Gedangan,058PPG,41,00
C-058,Teluk Lamong,SBY-07 ,East Hope-Ngoro,058EHN,52,50
C-058,Teluk Lamong,SBY-07 ,Cpi Sepanjang,058CIS,46,50
C-058,Teluk Lamong,SBY-07 ,New Hope Mojosari,058NHM,51,50
C-058,Teluk Lamong,SBY-07 ,Suri Tani Manyar,058STM,43,00
C-058,Teluk Lamong,SBY-07 ,Malindo Wringin anom,058MWA,46,50
C-058,Teluk Lamong,SBY-07 ,CJ Pasuruan,058CJP,71,50
C-058,Teluk Lamong,SBY-07 ,Sierad Wonoayu,058SRW,50,00
C-058,Teluk Lamong,SBY-07 ,Cargill Kraton,058CKR,63,50
C-058,Teluk Lamong,SBY-07 ,Haida Kraton,058HKR,67,00
C-058,Teluk Lamong,SBY-07 ,CJ Feed BATANG,058CFB,180,00
C-058,Teluk Lamong,SBY-07 ,Japfa Sragen,058JPS,160,00
C-063,Darmo Sugondo Gresik,,CJ Feed Jombang,063CFJ,64,00
C-063,Darmo Sugondo Gresik,,Cpi Sepanjang,063CIS,51,00
C-063,Darmo Sugondo Gresik,,Cpi Krian,063CIK,53,00
C-063,Darmo Sugondo Gresik,,New Hope Kletek,063NHK,49,00
C-063,Darmo Sugondo Gresik,,Wirifa Rungkut,063WFR,49,00
C-063,Darmo Sugondo Gresik,,Panca Gedangan,063PPG,46,00
C-063,Darmo Sugondo Gresik,,Japfa Buduran,063JPB,46,00
C-063,Darmo Sugondo Gresik,,Malindo Wringin anom,063MWA,53,00
C-063,Darmo Sugondo Gresik,,Wirifa Ngoro,063WFN,56,50
C-063,Darmo Sugondo Gresik,,East Hope-Ngoro,063EHN,56,50
C-063,Darmo Sugondo Gresik,,CARGILL Beji,063CGB,56,50
C-063,Darmo Sugondo Gresik,,Cargill Kraton,063CKR,66,00
C-063,Darmo Sugondo Gresik,,Panca Pandaan,063PPD,56,50
C-063,Darmo Sugondo Gresik,,CJ Pasuruan,063CJP,56,50
C-063,Darmo Sugondo Gresik,,MPJS Jombang,063MPJ,79,00
C-063,Darmo Sugondo Gresik,,DMC PUNGGING,063DMP,61,00
C-063,Darmo Sugondo Gresik,,Romokalisari,063RMK,18,00
C-063,Darmo Sugondo Gresik,,Sierad Wonoayu,063SRW,53,00
C-063,Darmo Sugondo Gresik,,Tambak Langon,063TBL,25,00
C-063,Teluk Lamong,SBY-07 ,Cpi Sepanjang,063CIS,50,00
C-063,Teluk Lamong,SBY-07 ,Cpi Krian,063CIK,52,00
C-063,Teluk Lamong,SBY-07 ,New Hope Kletek,063NHK,50,00
C-063,Teluk Lamong,SBY-07 ,Wirifa Rungkut,063WFR,50,00
C-063,Teluk Lamong,SBY-07 ,Panca Gedangan,063PPG,45,00
C-063,Teluk Lamong,SBY-07 ,Japfa Buduran,063JPB,45,00
C-063,Teluk Lamong,SBY-07 ,Malindo Wringin anom,063MWA,56,00
C-063,Teluk Lamong,SBY-07 ,Wirifa Ngoro,063WFN,55,50
C-063,Teluk Lamong,SBY-07 ,East Hope-Ngoro,063EHN,55,50
C-063,Teluk Lamong,SBY-07 ,CARGILL Beji,063CGB,55,50
C-063,Teluk Lamong,SBY-07 ,Cargill Kraton,063CKR,67,00
C-063,Teluk Lamong,SBY-07 ,Panca Pandaan,063PPD,55,50
C-063,Teluk Lamong,SBY-07 ,CJ Pasuruan,063CJP,68,00
C-063,Teluk Lamong,SBY-07 ,MPJS Jombang,063MPJ,78,00
C-063,Teluk Lamong,SBY-07 ,DMC PUNGGING,063DMP,60,00
C-063,Teluk Lamong,SBY-07 ,Romokalisari,063RMK,24,00
C-063,Teluk Lamong,SBY-07 ,Sierad Wonoayu,063SRW,52,00
C-063,Teluk Lamong,SBY-07 ,Tambak Langon,063TBL,21,00
C-063,Teluk Lamong,SBY-07 ,Darmo Sugondo Gresik,063DSG,26,00
C-063,Romokalisari,SBY-02 ,Cpi Sepanjang,063CIS,47,00
C-063,Romokalisari,SBY-02 ,Cpi Krian,063CIK,49,00
C-063,Romokalisari,SBY-02 ,New Hope Kletek,063NHK,45,00
C-063,Romokalisari,SBY-02 ,Wirifa Rungkut,063WFR,45,00
C-063,Romokalisari,SBY-02 ,Panca Gedangan,063PPG,42,00
C-063,Romokalisari,SBY-02 ,Japfa Buduran,063JPB,42,00
C-063,Romokalisari,SBY-02 ,Malindo Wringin anom,063MWA,49,00
C-063,Romokalisari,SBY-02 ,Wirifa Ngoro,063WFN,52,50
C-063,Romokalisari,SBY-02 ,East Hope-Ngoro,063EHN,52,50
C-063,Romokalisari,SBY-02 ,CARGILL Beji,063CGB,52,50
C-063,Romokalisari,SBY-02 ,Cargill Kraton,063CKR,62,00
C-063,Romokalisari,SBY-02 ,Panca Pandaan,063PPG,52,50
C-063,Romokalisari,SBY-02 ,CJ Pasuruan,063CJP,62,00
C-063,Romokalisari,SBY-02 ,MPJS Jombang,063MPJ,75,00
C-063,Romokalisari,SBY-02 ,DMC PUNGGING,063DMP,57,00
C-063,Romokalisari,SBY-02 ,Sierad Wonoayu,063SRW,49,00
C-063,Romokalisari,SBY-02 ,Tambak Langon,063TBL,21,00
C-063,Romokalisari,SBY-02 ,Darmo Sugondo Gresik,063DSG,18,00
C-063,Jamrud,SBY-10 ,Cpi Sepanjang,063CIS,45,00
C-063,Jamrud,SBY-10 ,Cpi Krian,063CIK,47,00
C-063,Jamrud,SBY-10 ,New Hope Kletek,063NHK,45,00
C-063,Jamrud,SBY-10 ,Wirifa Rungkut,063WFR,45,00
C-063,Jamrud,SBY-10 ,Panca Gedangan,063PPG,40,00
C-063,Jamrud,SBY-10 ,Japfa Buduran,063JPB,40,00
C-063,Jamrud,SBY-10 ,Malindo Wringin anom,063MWA,51,00
C-063,Jamrud,SBY-10 ,Wirifa Ngoro,063WFN,50,50
C-063,Jamrud,SBY-10 ,East Hope-Ngoro,063EHN,50,50
C-063,Jamrud,SBY-10 ,CARGILL Beji,063CGB,50,50
C-063,Jamrud,SBY-10 ,Cargill Kraton,063CGK,62,00
C-063,Jamrud,SBY-10 ,Panca Pandaan,063PPD,50,50
C-063,Jamrud,SBY-10 ,CJ Pasuruan,063CJP,63,00
C-063,Jamrud,SBY-10 ,MPJS Jombang,063MPJ,73,00
C-063,Jamrud,SBY-10 ,DMC PUNGGING,063DMP,55,00
C-063,Jamrud,SBY-10 ,Romokalisari,063RMK,33,00
C-063,Jamrud,SBY-10 ,Sierad Wonoayu,063SRW,47,00
C-063,Jamrud,SBY-10 ,Tambak Langon,063TBL,25,00
C-063,Jamrud,SBY-10 ,Darmo Sugondo Gresik,063DSG,35,00
C-063,Jamrud,SBY-10 ,Japfa Margo,063JPM,25,00
C-064,Beji Pasuruan,,Gold Coin,064GCN,76,00
C-065,Jamrud,SBY-10 ,SPC-Trosobo,065SPT,44,50
C-065,Jamrud,SBY-10 ,PT. Seger,065SGR,44,50
C-065,Jamrud,SBY-10 ,Romokalisari,065RMK,30,00
C-065,Jamrud,SBY-10 ,Tb.Langon,065TBL,27,50
C-065,Teluk Lamong,SBY-07 ,Cpi Krian,065CIK,45,00
C-065,Teluk Lamong,SBY-07 ,Wonokoyo,065WKY,51,00
C-065,Teluk Lamong,SBY-07 ,Tb.Langon,065TBL,25,00
C-065,Romokalisari,SBY-02 ,Cpi Krian,065CIK,48,00
C-065,Romokalisari,SBY-02 ,Cpi Sepanjang,065CIS,46,00
C-065,Margomulyo,SBY-03 ,Cpi Krian,065CIK,46,00
C-065,Teluk Lamong,SBY-07 ,Cpi Sepanjang,065CIS,44,50
C-065,Margomulyo,SBY-03 ,Cpi Sepanjang,065CIS,44,00
C-066,Margomulyo,SBY-03 ,Cpi Krian,066CIK,49,00
C-066,Teluk Lamong,SBY-07 ,Sierad,066SIR,55,00
C-066,Teluk Lamong,SBY-07 ,Garda Sumengko,066GDS,52,00
C-066,Teluk Lamong,SBY-07 ,Wringin Anom,066WRA,52,00
C-066,Teluk Lamong,SBY-07 ,Romokalisari,066RMK,16,00
C-066,Romokalisari,SBY-02 ,East Hope-Ngoro,066EHN,50,00
C-066,Romokalisari,SBY-02 ,Sreeya Sewu,066SRW,55,00
C-066,Teluk Lamong,SBY-07 ,East Hope-Ngoro,066EHN,53,00
C-066,Teluk Lamong,SBY-07 ,Tb. Langon 16,066TBL,16,00
C-066,Teluk Lamong,SBY-07 ,MPJS Jombang,066MPJ,80,00
C-066,Teluk Lamong,SBY-07 ,PT.Seger-Kedamean,066SGK,50,00
C-067,Teluk Lamong,SBY-07 ,Tb.Langon,067TBL,18,00
C-067,Tb.Langon,,Surya Grain-Krian,067SGK,48,00
C-067,Romokalisari,SBY-02 ,Surya Grain-Krian,067SGK,50,00
C-067,Romokalisari,SBY-02 ,Surya Grain-Trosobo,067SGT,53,00
C-067,Teluk Lamong,SBY-07 ,Romokalisari,067RMK,20,00
C-068,Margomulyo,SBY-03 ,Cpi Sepanjang,068CIS,48,00
C-069,Romokalisari,SBY-02 ,Sama Berkat Ind,069SBI,27,50
C-069,Margomulyo,SBY-03 ,Sama Berkat Ind,069SBI,18,00
C-069,KIG-Gresik,,Sama Berkat Ind,069SBI,38,00
C-069,Tb. Langon,,PT. DMC Mojokerto,069DMM,55,00
C-070,Teluk Lamong,SBY-07 ,Panca PP-Gedangan,070PPG,43,00
C-073,Romokalisari,SBY-02 ,New Hope-Mojosari,073NHM,58,00
C-073,Teluk Lamong,SBY-07 ,New Hope-Mojosari,073NHM,58,00
C-073,Teluk Lamong,SBY-07 ,New Hope-Casaland Krian,073NHC,50,00
C-073,New Hope Kletek,,New Hope-Mojosari,073NHM,29,00
C-073,Pelabuhan Perak,SBY-20 ,New Hope-Mojosari,073NHM,63,50
C-073,Teluk Lamong,SBY-07 ,Margomulyo,073MML,27,00
C-073,Margomulyo,SBY-03 ,New Hope-Mojosari,073NHM,52,00
C-073,Casaland,SBY-15 ,New Hope-Mojosari,073NHM,58,00
C-073,Jamrud,SBY-10 ,New Hope-Mojosari,073NHM,63,50
C-076,Teluk Lamong,SBY-07 ,Margomulyo,076MML,25,00
C-079,Tb.Langon 22,,Haida PIER,079HPR,55,00
C-079,Margomulyo,SBY-03 ,Matahari Sakti-M.Mulyo,079MSM,14,00
C-079,Margomulyo,SBY-03 ,Panca PP-Pandaan,079PPD,42,00
C-079,Margomulyo,SBY-03 ,Cpp Dupak,079CPD,21,00
C-079,Margomulyo,SBY-03 ,East Hope-Ngoro,079EHN,42,00
C-079,Romokalisari,SBY-02 ,Panca PP-Pandaan,079PPD,42,00
C-079,Romokalisari,SBY-02 ,East Hope-Ngoro,079EHN,42,00
C-079,Margomulyo,SBY-03 ,Matahari Sakti Gempol,079MSG,42,00
C-079,Romokalisari,SBY-02 ,Panca PP-Gedangan,079PPG,35,00
C-079,Margomulyo,SBY-03 ,MPJS Jombang,079MPJ,59,00
C-079,Margomulyo,SBY-03 ,Sierad,079SRD,40,00
C-079,Romokalisari,SBY-02 ,Cpp Dupak,079CPD,20,00
C-079,Margomulyo,SBY-03 ,Panca PP-Gedangan,079PPG,32,00
C-079,Margomulyo,SBY-03 ,DMC PUNGGING,079DMP,48,00
C-079,Margomulyo,SBY-03 ,Cpp Sepanjang,079CPS,37,00
C-079,Margomulyo,SBY-03 ,CJ Feed Jombang,079CFJ,59,00
C-079,Romokalisari,SBY-02 ,Matahari Sakti-M.Mulyo,079MSM,21,00
C-079,Romokalisari,SBY-02 ,Cpp Sepanjang,079CPS,40,00
C-079,Romokalisari,SBY-02 ,Matahari Sakti Gempol,079MSG,42,00
C-079,Teluk Lamong,SBY-07 ,TANJUNG BATU SURABAYA,079TGB,28,00
C-079,Teluk Lamong,SBY-07 ,Panca PP-Pandaan,079PPD,42,00
C-079,Teluk Lamong,SBY-07 ,Cpp Dupak,079CPD,20,00
C-07R,Teluk Lamong,SBY-07 ,Romokalisari,07RMK,14,00
C-079,Teluk Lamong,SBY-07 ,East Hope-Ngoro,079EHN,47,00
C-079,Teluk Lamong,SBY-07 ,Matahari Sakti Gempol,079MSG,42,00
C-079,Teluk Lamong,SBY-07 ,Sinar Indochem-Krian,079SIK,40,00
C-079,Teluk Lamong,SBY-07 ,Haida Kraton,079HKR,55,00
C-079,Teluk Lamong,SBY-07 ,DMC PUNGGING,079DMP,50,00
C-079,Teluk Lamong,SBY-07 ,Sierad,079SRD,40,00
C-079,Teluk Lamong,SBY-07 ,MPJS Jombang,079MPJ,60,00
C-079,Romokalisari,SBY-02 ,CWS Sepanjang,079CWS,40,00
C-079,Romokalisari,SBY-02 ,Cargill PIER,079CGP,42,00
C-079,Teluk Lamong,SBY-07 ,Panca PP-Gedangan,079PPG,35,00
C-079,Teluk Lamong,SBY-07 ,CARGILL Beji,079CGB,42,00
C-079,Teluk Lamong,SBY-07 ,WONOKOYO GEMPOL,079WKG,42,00
C-079,Teluk Lamong,SBY-07 ,Sreeya Sewu,079SRS,40,00
C-079,Teluk Lamong,SBY-07 ,Margomulyo,079MGM,21,00
C-079,Teluk Lamong,SBY-07 ,Wirifa Sakti Ngoro,079WSN,42,00
C-079,Teluk Lamong,SBY-07 ,CJ Feed Jombang,079CFJ,60,00
C-079,Teluk Lamong,SBY-07 ,Cpp Sepanjang,079CPS,40,00
C-079,Margomulyo,SBY-03 ,CWS Sepanjang,079CWS,37,00
C-079,Romokalisari,SBY-02 ,CPP MARGO,079CPM,21,00
C-079,Romokalisari,SBY-02 ,Haida Kraton,079HKR,55,00
C-079,Margomulyo,SBY-03 ,SANTOSA AGRINDO-PROBOLINGGO,079SAN,88,00
C-079,Teluk Lamong,SBY-07 ,CPP MARGO,079CPM,21,00
C-079,Teluk Lamong,SBY-07 ,CWS Sepanjang,079CWS,40,00
C-079,Teluk Lamong,SBY-07 ,Matahari Sakti-M.Mulyo,079MSM,21,00
C-079,Romokalisari,SBY-02 ,JCI-Buduran,079JCB,39,00
C-079,Jamrud,SBY-10 ,Romokalisari,079RMK,28,00
C-079,Jamrud,SBY-10 ,East Hope-Ngoro,079EHN,47,00
C-079,Jamrud,SBY-10 ,Wonokoyo,079WKY,47,00
C-079,Jamrud,SBY-10 ,DMC PUNGGING,079DMP,48,00
C-079,Margomulyo,SBY-03 ,CARGILL Kraton-PIER,079CKR,55,00
C-079,Margomulyo,SBY-03 ,CPP MARGO,079CPM,12,00
C-079,Margomulyo,SBY-03 ,Haida Kraton,079HKR,55,00
C-079,Teluk Lamong,SBY-07 ,CJ SIDOARJO,079CJS,47,00
C-079,Margomulyo,SBY-03 ,Berkat Agri-Gedangan,079BAG,32,00
C-079,Margomulyo,SBY-03 ,Cheil Jeddang-Pasuruan,079CJP,60,00
C-079,Romokalisari,SBY-02 ,SANTOSA AGRINDO-PROBOLINGGO,079SAN,88,00
C-079,Margomulyo',,Matahari Sakti-M.Mulyo,079MSM,14,00
C-079,Teluk Lamong,SBY-07 ,CJ FEED KALIMANTAN (SDA),079CFK,39,00
C-079,Teluk Lamong,SBY-07 ,INDO KAWAN SEJAHTERA (WONOKOYO),079IKS,47,00
C-079,Margomulyo,SBY-03 ,CARGILL Beji,079CGB,42,00
C-079,Margomulyo,SBY-03 ,Cpp M.Mulyo,079CPM,14,00
C-079,Margomulyo,SBY-03 ,BERSIH BIJAK BEJI,079BBB,42,00
C-079,Margomulyo,SBY-03 ,CARGILL Kraton-PIER,079CKR,82,50
C-079,Teluk Lamong,SBY-07 ,CARGILL Kraton-PIER,079CKR,55,00
C-079,Tanjung Batu,SBY-29 ,Matahari Sakti-M.Mulyo,079MSM,22,00
C-079,Teluk Lamong,SBY-07 ,Margomulyo,079MGM,21,00
C-079,Romokalisari,SBY-02 ,CJ Feed Jombang,079CFJ,60,00
C-079,Margomulyo,SBY-03 ,TANJUNG PERAK SURABAYA,079TPS,22,00
